#{"t_start": 1666530487.3859344, "env_id": null}
r,l,t
14.209444,151,803.914489
9.299282,151,803.914489
14.791255,151,812.709739
10.660914,151,812.861552
-5.1750107,151,812.871649
10.187764,151,812.871649
9.232446,151,821.709893
13.091099,151,821.894026
10.397617,151,821.894026
10.434133,151,821.894026
10.041162,150,848.227427
10.05777,150,848.427243
6.835304,150,848.427243
13.624641,150,848.427243
-70.36878,151,857.236999
19.606089,151,857.438743
11.745085,151,857.438743
14.936079,151,857.438743
-32.603863,151,866.170265
9.391762,151,866.354573
11.545861,151,866.354573
16.355219,151,866.354573
-32.646187,151,875.095242
11.392764,151,875.292978
12.905259,151,875.293999
12.085361,151,875.293999
10.11862,151,884.049628
11.158784,151,884.20196
14.67888,151,884.20196
11.324461,151,884.20196
-1.195264,151,892.962992
13.064494,151,893.116332
-40.87939,151,893.116332
-63.994743,151,893.116332
7.068316,151,901.966028
13.460029,151,902.179332
7.031145,151,902.179332
9.494978,151,902.179332
4.583275,151,910.981027
9.447803,151,911.195781
10.830657,151,911.195781
-31.578045,151,911.195781
17.372812,151,920.134612
10.681136,151,920.288961
15.070381,151,920.288961
10.68902,151,920.288961
11.102162,151,929.033152
10.16318,151,929.20197
10.192866,151,929.20197
13.147808,151,929.20197
9.05067,151,937.908749
-7.162992,151,938.106498
13.547837,151,938.106498
15.195861,151,938.106498
14.3118,151,946.843424
9.475943,151,947.06018
8.57711,151,947.06018
8.573192,151,947.06018
8.87727,151,955.732937
-34.090496,151,955.901793
8.500123,151,955.901793
13.561284,151,955.901793
8.222765,151,964.754983
10.60113,151,964.908823
-36.456394,151,964.908823
-28.722315,151,964.908823
19.530165,147,1014.846634
15.247588,147,1015.030365
7.6125503,147,1015.030365
9.599472,147,1015.030365
10.454652,151,1023.947104
20.65089,151,1024.085968
13.509313,151,1024.085968
11.507531,151,1024.085968
-30.482384,151,1032.769096
25.959282,151,1032.953419
12.89169,151,1032.953419
16.457237,151,1032.953419
-0.9677789,151,1041.684035
11.692867,151,1041.882813
9.23926,151,1041.882813
8.74144,151,1041.882813
3.5718572,151,1050.695407
14.782734,151,1050.843262
10.012115,151,1050.843262
-36.26031,151,1050.843262
10.075727,151,1059.574145
12.685791,151,1059.74191
13.76468,151,1059.74191
9.225851,151,1059.74191
8.341618,151,1068.438992
14.98185,151,1068.636778
14.00737,151,1068.636778
11.828476,151,1068.636778
13.240707,151,1077.442865
7.9286175,151,1077.653638
17.918633,151,1077.653638
16.486332,151,1077.653638
6.7706327,151,1086.37328
6.835215,151,1086.512116
10.806341,151,1086.512116
11.637601,151,1086.512116
13.781924,151,1095.304679
12.9589815,151,1095.48452
9.613009,151,1095.48452
5.3741555,151,1095.48452
-28.296455,151,1104.346552
9.532172,151,1104.500376
15.306364,151,1104.500376
-39.737648,151,1104.500376
-32.749702,151,1113.469233
7.000037,151,1113.684022
11.521008,151,1113.684022
13.928693,151,1113.684022
12.00409,151,1122.383233
8.349797,151,1122.566514
14.569372,151,1122.566514
15.647628,151,1122.566514
13.192636,151,1131.294405
16.970272,151,1131.494214
10.519195,151,1131.494214
6.4214716,151,1131.494214
9.293748,150,1158.266096
14.922336,150,1158.465908
4.898562,150,1158.465908
10.0221405,150,1158.465908
10.374326,151,1167.232867
-32.908012,151,1167.416701
14.276715,151,1167.416701
15.771808,151,1167.416701
12.53778,151,1176.321251
8.681805,151,1176.546091
15.020402,151,1176.546091
13.485552,151,1176.546091
17.029058,151,1185.412999
13.980603,151,1185.57483
9.34214,151,1185.57483
8.73011,151,1185.57483
10.531421,151,1194.294761
14.743437,151,1194.476541
12.163252,151,1194.476541
8.170289,151,1194.476541
11.817431,151,1203.240312
13.845759,151,1203.363239
6.266833,151,1203.363239
11.415709,151,1203.363239
13.623122,151,1212.161797
11.454049,151,1212.374597
8.060817,151,1212.374597
17.54461,151,1212.374597
12.292049,151,1221.073462
11.851797,151,1221.271717
11.9010935,151,1221.271717
6.909535,151,1221.271717
9.848544,151,1230.073393
14.967884,151,1230.304189
8.642007,151,1230.304189
9.877008,151,1230.304189
9.583703,151,1238.952921
12.840059,151,1239.151326
3.9901621,151,1239.151326
13.7550955,151,1239.151326
8.512544,151,1247.949368
14.921816,151,1248.13263
6.563613,151,1248.13263
-36.563065,151,1248.13263
14.386717,151,1256.921423
10.270555,151,1257.074083
18.576153,151,1257.074083
14.45818,151,1257.074083
12.501923,151,1265.929136
6.7156706,151,1266.107939
13.397822,151,1266.107939
10.007579,151,1266.107939
9.58885,148,1312.978355
10.201311,148,1313.161826
6.430441,148,1313.161826
13.853428,148,1313.161826
11.498196,151,1321.973232
10.456788,151,1322.09609
12.325505,151,1322.09609
14.061049,151,1322.09609
10.149675,151,1330.813881
15.339637,151,1330.996657
11.7444105,151,1330.996657
11.092362,151,1330.996657
7.753936,151,1339.878068
-68.4892,151,1340.045913
11.168313,151,1340.045913
12.146623,151,1340.045913
-35.095345,151,1348.86358
9.827499,151,1349.060903
12.260049,151,1349.060903
9.670475,151,1349.060903
13.15337,151,1357.790682
10.842686,151,1357.958986
9.192187,151,1357.958986
6.9551244,151,1357.958986
16.860197,151,1366.540346
-37.42847,151,1366.678206
10.5274,151,1366.678206
16.93877,151,1366.678206
8.429204,151,1375.406334
4.0895686,151,1375.572661
16.540915,151,1375.573665
10.113277,151,1375.573665
6.708776,151,1384.390281
6.5305223,151,1384.573591
11.6467285,151,1384.573591
9.668084,151,1384.573591
9.91533,151,1393.368854
15.147402,151,1393.584612
10.827754,151,1393.584612
17.699818,151,1393.584612
10.193897,151,1402.348944
-34.184685,151,1402.531722
15.569116,151,1402.531722
26.145178,151,1402.531722
16.996126,151,1411.213945
12.415302,151,1411.396212
33.301167,151,1411.396212
7.6517963,151,1411.396212
13.417016,151,1420.051634
12.632613,151,1420.242913
13.706876,151,1420.242913
18.36485,151,1420.242913
-70.84566,151,1429.090753
